"","Respondents","European","Canadian","Japanese","X6.19","X5.49","X4.79","Rich.full.bodied","Regular","Crisp.and.clear","Strong","Mild","Very.mild","Full","Regular.1","Low","Six.12Oz.Large","Six.12Oz.Small","Four.16Oz","Green.Label","Brown.Label","Brown.Painted","fit1$cluster"
"275",4421,13,26,0,0,16,12,8,0,21,0,3,2,8,0,8,11,4,0,0,15,5,2
"276",6575,8,0,9,0,2,2,11,0,12,13,22,0,27,0,9,15,0,10,0,13,13,2
"277",4498,12,0,6,0,11,5,15,0,5,0,5,6,0,15,20,15,0,5,0,17,21,2
"278",5406,8,0,7,5,9,0,12,0,19,0,19,10,5,0,19,17,0,6,0,8,9,2
"279",7519,20,0,20,2,0,10,11,0,2,0,15,10,25,0,4,11,0,1,8,6,0,2
"280",2204,19,0,12,10,3,0,19,0,6,0,16,4,13,0,10,4,0,4,0,18,14,1
"281",7169,15,0,16,28,0,11,12,0,0,2,8,0,3,0,4,0,14,2,6,17,0,2
"282",73,16,1,0,13,12,0,4,0,5,0,11,7,0,0,27,24,0,9,3,4,0,1
"283",5719,14,0,5,6,0,2,24,0,14,0,23,6,17,0,4,10,0,8,6,0,4,2
"284",5832,26,0,16,0,2,0,7,0,13,0,23,13,16,0,14,18,0,6,2,1,0,2
"285",7172,10,0,16,12,0,9,9,0,13,0,24,0,25,1,0,7,0,1,3,3,0,2
"286",5803,17,0,8,1,7,0,10,0,15,0,23,9,12,0,7,18,0,2,0,7,9,2
"287",4382,21,0,8,4,10,0,14,0,13,0,17,2,18,0,12,14,0,7,0,4,5,2
"288",7388,12,0,7,0,6,2,10,0,16,0,16,20,30,0,13,5,0,2,11,0,3,2
"289",5794,17,3,0,10,7,0,1,0,13,0,15,6,13,0,30,11,0,12,1,3,0,2
"290",3011,24,5,0,0,2,5,18,0,12,0,12,3,13,0,19,19,0,5,0,4,1,1
"291",7189,1,3,0,15,0,29,7,0,19,12,19,0,0,14,5,0,12,11,3,0,1,2
"292",2587,29,0,23,21,0,6,5,0,2,0,9,0,0,5,7,6,12,0,0,18,4,1
"293",4908,0,0,2,12,9,0,18,0,1,12,14,0,0,7,1,29,0,23,5,0,17,2
"294",879,8,0,1,0,14,13,11,0,11,0,13,3,19,0,4,25,0,14,9,0,10,1
"295",6291,8,0,16,3,1,0,16,7,0,12,21,0,18,0,6,12,0,12,12,5,0,2
"296",6148,24,0,18,0,0,1,8,0,9,0,28,12,24,0,0,10,1,0,2,4,0,2
"297",2932,0,9,7,0,19,26,14,0,7,11,19,0,1,10,0,5,0,13,8,0,10,1
"298",5786,11,0,1,0,6,6,37,0,18,0,16,5,10,0,12,11,0,4,0,6,7,2
"299",7128,17,0,29,14,1,0,10,0,7,15,22,0,0,16,9,6,0,2,0,3,2,2
"300",997,19,0,13,11,3,0,18,0,21,0,17,3,10,0,19,12,0,5,1,2,0,1
"301",984,16,0,10,2,0,3,24,0,10,0,17,6,22,0,0,7,0,9,0,3,9,1
"302",6702,25,0,15,0,1,12,0,1,10,0,17,11,18,0,1,12,5,0,3,5,0,2
"303",3974,16,0,13,3,0,7,17,0,7,0,19,8,25,0,10,13,0,9,3,2,0,2
"304",3970,4,0,4,11,0,6,0,4,15,0,26,2,0,3,25,2,0,13,2,6,0,2
"305",5633,0,5,19,0,16,26,14,13,0,0,2,9,0,22,10,0,1,2,7,1,0,2
"306",7180,30,23,0,15,0,23,5,0,10,1,0,2,0,10,0,12,10,0,14,0,1,2
"307",3214,19,0,16,10,0,9,22,0,18,0,6,2,4,0,13,4,0,7,0,22,23,1
"308",7469,21,0,14,2,0,5,8,0,8,0,29,15,23,3,0,9,6,0,2,5,0,2
"309",381,30,0,24,6,4,0,9,0,0,13,18,0,19,0,5,0,0,7,0,12,7,1
"310",4196,25,0,5,7,10,0,6,0,11,0,1,2,0,14,23,11,0,0,0,18,13,2
"311",5619,1,0,11,0,6,4,40,2,0,4,0,2,15,0,1,14,0,14,0,1,9,2
"312",7500,2,0,1,11,3,0,9,0,9,0,6,11,9,0,27,35,0,9,5,2,0,2
"313",6071,18,9,0,19,14,0,1,0,6,0,21,4,4,0,6,24,0,14,6,0,3,2
"314",2319,0,11,10,5,0,0,0,16,7,22,0,10,0,8,13,7,0,17,16,0,8,1
"315",6145,1,4,0,1,0,4,17,0,3,7,15,0,0,32,45,0,3,10,1,5,0,2
"316",3460,9,0,17,0,19,7,0,2,5,0,13,9,0,16,15,9,0,4,0,18,22,1
"317",5456,4,0,6,9,0,6,0,7,8,29,22,0,10,4,0,13,16,0,22,17,0,2
